SA2_name_usual_residence_address,SA2_name_workplace_address,Work_at_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,Train,Bicycle,Walk_or_jog,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,cluster_count
Bird Area,Marotiri,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Bird Area,-38.69357961,176.0859815,Marotiri,-38.51214377,175.78064218,33.33215113258208,Taupo,Taupo,Waikato,Waikato,195
Wharekaka,Gisborne Central,-999,69,6,-999,-999,-999,-999,-999,-999,-999,75,Wharekaka,-38.4322622,178.15682921,Gisborne Central,-38.66778237,178.02299313,28.65836141545582,Gisborne,Gisborne,Gisborne,Gisborne,16
Te Hapara East,Gisborne Central,-999,150,21,9,-999,-999,9,30,-999,-999,216,Te Hapara East,-38.6560244,178.01721277,Gisborne Central,-38.66778237,178.02299313,1.4004478113502266,Gisborne,Gisborne,Gisborne,Gisborne,315
Omahu-Pakowhai,Karamu,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,15,Omahu-Pakowhai,-39.56659265,176.82024777,Karamu,-39.62823535,176.88383629,8.755913170799197,Hastings city,Hastings city,Hawke's Bay,Hawke's Bay,1474
Sherenden-Crownthorpe,Taradale South,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Sherenden-Crownthorpe,-39.47575154,176.49801476,Taradale South,-39.54323393,176.82989073,29.443505677616802,Hastings,Hastings,Hawke's Bay,Hawke's Bay,17
Maraekakaho,Karamu,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,12,Maraekakaho,-39.62634976,176.29699518,Karamu,-39.62823535,176.88383629,50.259410763046226,Hastings,Hastings city,Hawke's Bay,Hawke's Bay,16
Poukawa,Karamu,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,15,Poukawa,-39.75996379,176.70227115,Karamu,-39.62823535,176.88383629,21.351364998032548,Hastings,Hastings city,Hawke's Bay,Hawke's Bay,18
Mangarara,Karamu,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Mangarara,-39.99003717,176.76264858,Karamu,-39.62823535,176.88383629,41.54094051788302,Central Hawke's Bay,Hastings city,Hawke's Bay,Hawke's Bay,16
Waipukurau East,Hastings Central,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Waipukurau East,-40.00231546,176.56027065,Hastings Central,-39.63962329,176.84642759,47.15628131047143,Central Hawke's Bay,Hastings city,Hawke's Bay,Hawke's Bay,31
Solway South,Carterton South,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Solway South,-40.96910555,175.63403571,Carterton South,-41.03427242,175.51425212,12.391519685040471,Masterton,Carterton,Wellington,Wellington,299
Dannevirke East,Makaretu,-999,21,-999,-999,-999,-999,-999,-999,-999,-999,27,Dannevirke East,-40.21019552,176.10213546,Makaretu,-39.94160872,176.31273142,34.828492803557786,Tararua,Central Hawke's Bay,Manawatu-Wanganui,Hawke's Bay,24
Milson North,Palmerston North Central,-999,171,18,12,-999,-999,-999,-999,-999,6,213,Milson North,-40.32708272,175.60731249,Palmerston North Central,-40.35537702,175.61010962,3.1551014275129723,Palmerston North,Palmerston North,Manawatu-Wanganui,Manawatu-Wanganui,1098
Highlands Park (New Plymouth District),Spotswood,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Highlands Park (New Plymouth District),-39.08069461,174.10443117,Spotswood,-39.07096507,174.02427884,7.002982060936531,New Plymouth,New Plymouth,Taranaki,Taranaki,620
Stratford South,New Plymouth Central,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,18,Stratford South,-39.34903873,174.28515816,New Plymouth Central,-39.05700192,174.07537454,37.165107713926986,Stratford,New Plymouth,Taranaki,Taranaki,84
Egmont Showgrounds,Eltham,-999,27,-999,-999,-999,-999,-999,-999,-999,-999,27,Egmont Showgrounds,-39.57617162,174.26308228,Eltham,-39.4310866,174.29903566,16.42497308216667,South Taranaki,South Taranaki,Taranaki,Taranaki,88
Manutahi-Waitotora,Eltham,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Manutahi-Waitotora,-39.78384701,174.57529167,Eltham,-39.4310866,174.29903566,45.81157859486471,South Taranaki,South Taranaki,Taranaki,Taranaki,20
Laird Park,Whanganui Central,-999,162,15,9,-999,-999,-999,30,-999,6,228,Laird Park,-39.91964278,175.04579452,Whanganui Central,-39.93513676,175.04701799,1.7260077838212151,Wanganui,Wanganui,Manawatu-Wanganui,Manawatu-Wanganui,366
Otaki,Tararua,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,15,Otaki,-40.75304139,175.13966802,Tararua,-40.64205371,175.30927003,18.887616803710007,Kapiti Coast,Horowhenua,Wellington,Manawatu-Wanganui,695
Motueka West,Richmond Central (Tasman District),-999,9,-999,-999,-999,-999,-999,-999,-999,-999,18,Motueka West,-41.12544913,172.99560963,Richmond Central (Tasman District),-41.33750365,173.18938637,28.61068800295536,Tasman,Tasman,Nelson,Nelson,78
Upper Moutere,Richmond Central (Tasman District),-999,21,-999,-999,-999,-999,-999,-999,-999,-999,27,Upper Moutere,-41.24935169,172.85150896,Richmond Central (Tasman District),-41.33750365,173.18938637,29.881436665851325,Tasman,Tasman,Nelson,Nelson,19
Golden Downs,Richmond Central (Tasman District),-999,33,-999,-999,-999,-999,-999,-999,-999,-999,33,Golden Downs,-41.50890922,172.78826525,Richmond Central (Tasman District),-41.33750365,173.18938637,38.49446374513786,Tasman,Tasman,Nelson,Nelson,19
Aldinga,Richmond Central (Tasman District),-999,39,9,-999,-999,-999,-999,-999,-999,-999,54,Aldinga,-41.31388017,173.22157736,Richmond Central (Tasman District),-41.33750365,173.18938637,3.7584390504698137,Nelson,Tasman,Nelson,Nelson,697
Wakefield Rural,Richmond Central (Tasman District),-999,33,6,-999,-999,-999,-999,-999,-999,-999,45,Wakefield Rural,-41.49668834,173.12155468,Richmond Central (Tasman District),-41.33750365,173.18938637,18.58230069246353,Tasman,Tasman,Nelson,Nelson,18
Waimate North,Waimate East,-999,42,9,-999,-999,-999,-999,-999,-999,-999,60,Waimate North,-44.72202963,171.04779397,Waimate East,-44.73770602,171.04734729,1.7434921471834972,Waimate,Waimate,Canterbury,Canterbury,34
Oamaru North Orana Park,Lower Waitaki,-999,81,6,6,-999,-999,-999,-999,-999,-999,99,Oamaru North Orana Park,-45.08058565,170.97765366,Lower Waitaki,-45.00239341,171.02035686,9.319492817678134,Waitaki,Waitaki,Otago,Otago,83
Yelverton,Marlborough Sounds West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Yelverton,-41.51419128,173.93427609,Marlborough Sounds West,-41.25619764,173.62635385,38.50854281081253,Marlborough,Marlborough,Marlborough,Marlborough,308
Greymouth Central,Greymouth Central,66,120,21,15,-999,-999,6,30,-999,-999,264,Greymouth Central,-42.45704831,171.19924986,Greymouth Central,-42.45704831,171.19924986,0.0,Grey,Grey,West Coast,West Coast,63
Strowan,Jellie Park,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,15,Strowan,-43.50761954,172.60874654,Jellie Park,-43.51329391,172.58360326,2.123556760189416,Christchurch,Christchurch,Canterbury,Canterbury,6543
Darfield,Northlands (Christchurch City),-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Darfield,-43.49796117,172.09991696,Northlands (Christchurch City),-43.49209266,172.60688807,40.89976107780467,Selwyn,Christchurch,Canterbury,Canterbury,84
Balcairn,Middleton,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,12,Balcairn,-43.13161687,172.78405755,Middleton,-43.54208461,172.58331091,48.44350299815013,Hurunui,Christchurch,Canterbury,Canterbury,42
Oxford,Middleton,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Oxford,-43.2987357,172.18309394,Middleton,-43.54208461,172.58331091,42.154240045236136,Waimakariri,Christchurch,Canterbury,Canterbury,29
Eyrewell,Middleton,-999,12,6,-999,-999,-999,-999,-999,-999,-999,18,Eyrewell,-43.39853546,172.28813683,Middleton,-43.54208461,172.58331091,28.673446719184103,Waimakariri,Christchurch,Canterbury,Canterbury,23
Rakaia,Rolleston Izone,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,12,Rakaia,-43.74700637,172.00903425,Rolleston Izone,-43.58400200000001,172.37100014,34.29607539603721,Ashburton,Selwyn,Canterbury,Canterbury,27
Hampstead,Rolleston Izone,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Hampstead,-43.91158863,171.75646729,Rolleston Izone,-43.58400200000001,172.37100014,61.34759827618618,Ashburton,Selwyn,Canterbury,Canterbury,181
Washdyke,Waitohi (Timaru District),-999,21,-999,-999,-999,-999,-999,-999,-999,-999,21,Washdyke,-44.35333362,171.24781336,Waitohi (Timaru District),-44.18539597,171.37833391,21.370857762289766,Timaru,Timaru,Canterbury,Canterbury,348
Levels Valley,Waitohi (Timaru District),-999,21,-999,-999,-999,-999,-999,-999,-999,-999,24,Levels Valley,-44.27189292,171.01446242,Waitohi (Timaru District),-44.18539597,171.37833391,30.546254385141967,Timaru,Timaru,Canterbury,Canterbury,28
Belleknowes,Dunedin Central,-999,168,30,9,6,-999,6,33,-999,6,264,Belleknowes,-45.87481662,170.4813773,Dunedin Central,-45.87712471,170.50291221,1.6867740622768352,Dunedin,Dunedin,Otago,Otago,1105
Momona,Dunedin Central,-999,99,24,-999,-999,-999,-999,-999,-999,-999,129,Momona,-45.93568773,170.20271369,Dunedin Central,-45.87712471,170.50291221,24.12281839887678,Dunedin,Dunedin,Otago,Otago,20
Benhar-Stirling,Balclutha South,-999,66,18,6,-999,-999,-999,-999,-999,-999,93,Benhar-Stirling,-46.23721671,169.77798335,Balclutha South,-46.24449018,169.72255412,4.3388610613363285,Clutha,Clutha,Otago,Otago,32
Cromwell West,Lindis-Nevis Valleys,-999,114,30,9,-999,-999,-999,9,-999,-999,165,Cromwell West,-45.06411975,169.17047641,Lindis-Nevis Valleys,-44.94314357,169.28090388,16.010357508606827,Central Otago,Central Otago,Otago,Otago,22
Alexandra North,Lindis-Nevis Valleys,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Alexandra North,-45.24363835,169.38984744,Lindis-Nevis Valleys,-44.94314357,169.28090388,34.490519231177764,Central Otago,Central Otago,Otago,Otago,38
Albert Town,Queenstown Central,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,12,Albert Town,-44.68367445,169.18201076,Queenstown Central,-45.0327315,168.65460343,56.873379209780644,Queenstown-Lakes,Queenstown-Lakes,Otago,Otago,75
Frankton,Queenstown Central,-999,192,30,9,60,-999,18,15,-999,9,336,Frankton,-45.01825697,168.74585281,Queenstown Central,-45.0327315,168.65460343,7.349834294886826,Queenstown-Lakes,Queenstown-Lakes,Otago,Otago,176
Gore South,Gore Main,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Gore South,-46.12386918,168.92050206,Gore Main,-46.10427676,168.9374566,2.5405136975362463,Gore,Gore,Southland,Southland,65
Winton,Invercargill Central,-999,51,21,-999,-999,-999,-999,-999,-999,-999,75,Winton,-46.14486071,168.32382512,Invercargill Central,-46.41489239,168.32850731,30.02830883902681,Southland,Invercargill,Southland,Southland,16
