SA2_name_usual_residence_address,SA2_name_workplace_address,Work_at_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,Train,Bicycle,Walk_or_jog,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,cluster_count
Kohukohu-Broadwood,Kaikohe,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Kohukohu-Broadwood,-35.29006863,173.46362668,Kaikohe,-35.40792422,173.79767516,33.009469493916946,Far North,Far North,Northland,Northland,4
Kaeo,Kaikohe,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Kaeo,-35.15410315,173.74331968,Kaikohe,-35.40792422,173.79767516,28.65163323166534,Far North,Far North,Northland,Northland,12
Hokianga South,Kaikohe,-999,24,-999,-999,-999,-999,-999,-999,-999,-999,30,Hokianga South,-35.46801387,173.48438703,Kaikohe,-35.40792422,173.79767516,29.158317393900052,Far North,Far North,Northland,Northland,4
Matawaia-Taumarere,Kaikohe,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,15,Matawaia-Taumarere,-35.49406405,173.95266307,Kaikohe,-35.40792422,173.79767516,16.995148262140464,Far North,Far North,Northland,Northland,12
Russell Forest-Rawhiti,Kaikohe,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Russell Forest-Rawhiti,-35.36879174,174.22606034,Kaikohe,-35.40792422,173.79767516,39.07660673543557,Far North,Far North,Northland,Northland,7
Maromaku,Kawakawa,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Maromaku,-35.47825535,174.14132759999995,Kawakawa,-35.37897674,174.07575504,12.536514856727353,Far North,Far North,Northland,Northland,4
Whangaruru,Kawakawa,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Whangaruru,-35.48991999,174.33501130000005,Kawakawa,-35.37897674,174.07575504,26.530947892469268,Whangarei,Far North,Northland,Northland,20
Mangakahia-Hukerenui,Whangarei Central,-999,81,15,-999,-999,-999,-999,-999,-999,-999,99,Mangakahia-Hukerenui,-35.65301955,174.0023164,Whangarei Central,-35.72846995,174.32430322,30.26472599891327,Whangarei,Whangarei,Northland,Northland,12
Mairtown,Whangarei Central,-999,204,24,21,-999,-999,9,27,-999,-999,285,Mairtown,-35.70451425,174.32430453,Whangarei Central,-35.72846995,174.32430322,2.6637523068437168,Whangarei,Whangarei,Northland,Northland,572
Oakleigh-Mangapai,Whangarei Central,-999,192,33,6,-999,-999,-999,-999,-999,-999,234,Oakleigh-Mangapai,-35.89588695,174.21595621,Whangarei Central,-35.72846995,174.32430322,21.02387632154497,Whangarei,Whangarei,Northland,Northland,21
Ruakaka,Whangarei Central,-999,84,30,-999,-999,-999,-999,-999,-999,-999,117,Ruakaka,-35.87869623,174.45727498,Whangarei Central,-35.72846995,174.32430322,20.56300094624227,Whangarei,Whangarei,Northland,Northland,48
Waipu,Whangarei Central,-999,63,18,-999,-999,-999,-999,-999,-999,-999,81,Waipu,-36.03330412,174.45082085,Whangarei Central,-35.72846995,174.32430322,35.76122204449049,Whangarei,Whangarei,Northland,Northland,14
Kaipara Coastal,Whangarei Central,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,12,Kaipara Coastal,-35.72900181,173.65124289,Whangarei Central,-35.72846995,174.32430322,60.75505575069115,Kaipara,Whangarei,Northland,Northland,5
Maungaru,Whangarei Central,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,21,Maungaru,-35.87696287,173.97089153,Whangarei Central,-35.72846995,174.32430322,35.894867178148345,Kaipara,Whangarei,Northland,Northland,7
Dargaville,Whangarei Central,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,18,Dargaville,-35.93920158,173.86524045,Whangarei Central,-35.72846995,174.32430322,47.556874150119036,Kaipara,Whangarei,Northland,Northland,8
Ruawai-Matakohe,Whangarei Central,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Ruawai-Matakohe,-36.08477059,174.14649781,Whangarei Central,-35.72846995,174.32430322,42.732873958659354,Kaipara,Whangarei,Northland,Northland,8
Kaiwaka,Dargaville,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Kaiwaka,-36.20144738,174.41954369,Dargaville,-35.93920158,173.86524045,57.72630855812443,Kaipara,Kaipara,Northland,Northland,17
Mangawhai,Mangawhai Heads,-999,21,-999,-999,-999,-999,-999,-999,-999,-999,27,Mangawhai,-36.12486297,174.57648718,Mangawhai Heads,-36.09442027,174.58406666,3.4528735650181077,Kaipara,Kaipara,Northland,Northland,27
Richmond (Invercargill City),Invercargill Central,-999,498,99,27,-999,-999,24,66,-999,6,720,Richmond (Invercargill City),-46.40719619,168.36918138,Invercargill Central,-46.41489239,168.32850731,3.2336411984953366,Invercargill,Invercargill,Southland,Southland,518
Maungaturoto,Dargaville,-999,9,6,-999,-999,-999,-999,-999,-999,-999,15,Maungaturoto,-36.10952458,174.34693916,Dargaville,-35.93920158,173.86524045,47.278570118241355,Kaipara,Kaipara,Northland,Northland,6
Cape Rodney,Mangawhai Heads,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,15,Cape Rodney,-36.25433822,174.62638047,Mangawhai Heads,-36.09442027,174.58406666,18.18315235000976,Rodney,Kaipara,Auckland,Northland,26
Wellsford,Kaiwaka,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,18,Wellsford,-36.2928483,174.52152782,Kaiwaka,-36.20144738,174.41954369,13.672357357086687,Rodney,Kaipara,Auckland,Northland,29
Kaipara Hills,Wellsford,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,18,Kaipara Hills,-36.46348663,174.48881947,Wellsford,-36.2928483,174.52152782,19.198738852406198,Rodney,Rodney,Auckland,Auckland,22
Warkworth East,Wellsford,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,15,Warkworth East,-36.40528692,174.66791942,Wellsford,-36.2928483,174.52152782,18.116400226595395,Rodney,Rodney,Auckland,Auckland,160
Epsom Central-North,North Harbour,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,24,Epsom Central-North,-36.88779009,174.76992615,North Harbour,-36.74630474,174.71502975,16.473926318188063,Waitakere,Waitakere,Auckland,Auckland,22834
South Head,North Harbour,-999,27,15,-999,-999,-999,-999,-999,-999,-999,42,South Head,-36.59353204,174.31227374,North Harbour,-36.74630474,174.71502975,39.7353608857163,Rodney,Waitakere,Auckland,Auckland,33
Ostend,Quay Street-Customs Street,-999,-999,-999,-999,-999,-999,-999,-999,9,-999,12,Ostend,-36.79263832,175.05220466,Quay Street-Customs Street,-36.84601989,174.77646293,25.252609033378157,Auckland,Waitakere,Auckland,Auckland,86
Kawakawa Bay-Orere,Quay Street-Customs Street,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Kawakawa Bay-Orere,-36.98413362,175.15196852,Quay Street-Customs Street,-36.84601989,174.77646293,36.74672735995461,Manukau,Waitakere,Auckland,Auckland,27
Onewhero,Penrose,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Onewhero,-37.36416985,174.87549359,Penrose,-36.91999811,174.82258914,49.6117585892184,Franklin,Waitakere,Waikato,Auckland,18
Maramarua,Penrose,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Maramarua,-37.27897408,175.21484861,Penrose,-36.91999811,174.82258914,52.948561880605,Waikato,Waitakere,Waikato,Auckland,18
Huntly East,Penrose,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Huntly East,-37.55408564,175.16553246,Penrose,-36.91999811,174.82258914,76.76562193753976,Waikato,Waitakere,Waikato,Auckland,52
Miranda-Pukorokoro,East Tamaki,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Miranda-Pukorokoro,-37.11354894,175.27611278,East Tamaki,-36.93823242,174.88712871,39.65424781795018,Franklin,Manukau,Waikato,Auckland,6
Port Waikato-Waikaretu,Wiri West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Port Waikato-Waikaretu,-37.46326144,174.78022151,Wiri West,-37.00828264,174.8624367,51.112197963111676,Franklin,Franklin,Waikato,Auckland,7
Marlborough Sounds West,Marlborough Sounds East,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,12,Marlborough Sounds West,-41.25619764,173.62635385,Marlborough Sounds East,-41.3212678,174.04011823,35.319531255303396,Marlborough,Marlborough,Marlborough,Marlborough,15
Waitohi (Marlborough District),Marlborough Sounds East,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,27,Waitohi (Marlborough District),-41.2943994,173.99961791,Marlborough Sounds East,-41.3212678,174.04011823,4.513276692675234,Marlborough,Marlborough,Marlborough,Marlborough,41
Petone Central,Thorndon,-999,-999,-999,-999,-999,12,-999,-999,-999,-999,21,Petone Central,-41.22362356,174.86969444,Thorndon,-41.27246445,174.77422734,9.65382593696916,Hutt city,Wellington,Wellington,Wellington,3997
Coromandel,Colville,-999,42,18,9,-999,-999,-999,-999,-999,-999,69,Coromandel,-36.75575844,175.49571548,Colville,-36.69966402,175.48157611,6.363430059175638,Thames-Coromandel,Thames-Coromandel,Waikato,Waikato,8
Whitianga North,Whitianga South,-999,210,60,24,-999,-999,18,-999,-999,-999,318,Whitianga North,-36.82143931,175.6736582,Whitianga South,-36.8336234,175.69356396,2.230356245260785,Thames-Coromandel,Thames-Coromandel,Waikato,Waikato,20
Thames Coast,Thames Central,-999,129,18,9,-999,-999,-999,-999,-999,-999,162,Thames Coast,-37.0047507,175.54379335,Thames Central,-37.14032281,175.54142966,15.076389343859699,Thames-Coromandel,Thames-Coromandel,Waikato,Waikato,7
Mercury Bay South,Thames Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Mercury Bay South,-36.97215776,175.71637026,Thames Central,-37.14032281,175.54142966,24.303277318342964,Thames-Coromandel,Thames-Coromandel,Waikato,Waikato,6
Hauraki Plains East,Thames Central,-999,51,9,-999,-999,-999,-999,-999,-999,-999,63,Hauraki Plains East,-37.23819335,175.54353689,Thames Central,-37.14032281,175.54142966,10.884308261920813,Hauraki,Thames-Coromandel,Waikato,Waikato,86
Tairua,Thames Central,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,15,Tairua,-36.99459914,175.85342329,Thames Central,-37.14032281,175.54142966,32.07551005283805,Thames-Coromandel,Thames-Coromandel,Waikato,Waikato,10
Matatoki-Puriri,Thames Central,-999,81,12,-999,-999,-999,-999,-999,-999,-999,96,Matatoki-Puriri,-37.23726446,175.66087396,Thames Central,-37.14032281,175.54142966,15.104579800378954,Thames-Coromandel,Thames-Coromandel,Waikato,Waikato,6
Whangamata Rural,Whangamata,-999,57,6,6,-999,-999,-999,-999,-999,-999,75,Whangamata Rural,-37.17526649,175.83010048,Whangamata,-37.21349281,175.86658897,5.3397922971169685,Thames-Coromandel,Thames-Coromandel,Waikato,Waikato,12
Tahawai,Paeroa,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Tahawai,-37.519043,175.89229314,Paeroa,-37.37535256,175.67393688,25.037191972450326,Western Bay of Plenty,Hauraki,Bay of Plenty,Waikato,111
Riverlea,Te Rapa South,-999,36,12,-999,-999,-999,-999,-999,-999,-999,51,Riverlea,-37.80516292,175.32490337,Te Rapa South,-37.76141322,175.24114614,8.822998773218924,Hamilton,Hamilton,Waikato,Waikato,2463
Tahuna-Mangateparu,Te Aroha East,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Tahuna-Mangateparu,-37.52132213,175.46480172,Te Aroha East,-37.53376025,175.70924175,21.600095266018915,Matamata-Piako,Matamata-Piako,Waikato,Waikato,14
Raglan,Te Rapa South,-999,18,15,-999,-999,-999,-999,-999,-999,-999,30,Raglan,-37.81138720000001,174.8538483,Te Rapa South,-37.76141322,175.24114614,34.48535173961367,Waikato,Hamilton,Waikato,Waikato,14
Whitikahu,Te Rapa South,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,24,Whitikahu,-37.57098670000001,175.31718590000003,Te Rapa South,-37.76141322,175.24114614,22.207080377149325,Waikato,Hamilton,Waikato,Waikato,12
Te Uku,Te Rapa South,-999,36,-999,-999,-999,-999,-999,-999,-999,-999,48,Te Uku,-37.88322634,174.93821165,Te Rapa South,-37.76141322,175.24114614,29.857317834709182,Waikato,Hamilton,Waikato,Waikato,13
Tirau,Te Rapa South,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Tirau,-37.95916018,175.81429616,Te Rapa South,-37.76141322,175.24114614,54.91112047366392,South Waikato,Hamilton,Waikato,Waikato,11
Maungatapu,Tauranga Central,-999,162,30,12,9,-999,9,-999,-999,-999,225,Maungatapu,-37.7183264,176.17894876,Tauranga Central,-37.67947411,176.16704264,4.445359897197328,Western Bay of Plenty,,Bay of Plenty,,1266
Putararu,Tauranga Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Putararu,-38.05293796,175.78466514,Tauranga Central,-37.67947411,176.16704264,53.39644621501761,South Waikato,,Waikato,,27
Kaimai,Tauranga Central,-999,81,21,9,-999,-999,-999,-999,-999,-999,111,Kaimai,-37.88590858,176.02098429,Tauranga Central,-37.67947411,176.16704264,26.299554937471555,Western Bay of Plenty,,Bay of Plenty,,10
Waiorohi,Tauranga Central,-999,81,15,-999,-999,-999,-999,-999,-999,-999,99,Waiorohi,-37.87712037,176.14775568,Tauranga Central,-37.67947411,176.16704264,22.042533542392874,Western Bay of Plenty,,Bay of Plenty,,18
Pongakawa,Tauranga Central,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,21,Pongakawa,-37.89305456,176.49614474,Tauranga Central,-37.67947411,176.16704264,37.422196049091674,Western Bay of Plenty,,Bay of Plenty,,16
Koutu,Rotorua Central,-999,111,6,12,6,-999,6,-999,-999,-999,150,Koutu,-38.12154784,176.23823269,Rotorua Central,-38.13568521,176.25424012,2.1051419335701955,Rotorua,Rotorua,Waikato,Bay of Plenty,602
Manawahe,Tauranga Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Manawahe,-37.94949244,176.66958968,Tauranga Central,-37.67947411,176.16704264,53.388316770543796,Whakatane,,Bay of Plenty,,12
Waerenga,Rangiriri,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Waerenga,-37.42381266,175.30852178,Rangiriri,-37.38966720000001,175.09012212,19.660662700849763,Waikato,Waikato,Waikato,Waikato,5
Maungatautari,Frankton Junction ,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Maungatautari,-37.99001963,175.59740495,Frankton Junction,-37.79650916,175.26255885,36.41900188787232,Waipa,Hamilton,Waikato,Waikato,6
Rotongata,Frankton Junction ,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,9,Rotongata,-38.09897589,175.54852216,Frankton Junction,-37.79650916,175.26255885,41.95117889815903,Waipa,Hamilton,Waikato,Waikato,6
Maihiihi,Te Awamutu North,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Maihiihi,-38.25985712,175.35339708,Te Awamutu North,-37.99873125,175.32167082,29.16817861773817,Otorohanga,Waipa,Waikato,Waikato,8
Puniu,Te Awamutu North,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,12,Puniu,-38.28518422,175.55136504,Te Awamutu North,-37.99873125,175.32167082,37.65713157245018,Otorohanga,Waipa,Waikato,Waikato,7
Te Poi,Matamata South,-999,51,6,-999,-999,-999,-999,-999,-999,-999,60,Te Poi,-37.87153608,175.87306966,Matamata South,-37.81753128,175.77119821,10.773878495430916,Matamata-Piako,Matamata-Piako,Waikato,Waikato,5
Matarawa,Putararu,-999,30,-999,6,-999,-999,-999,-999,-999,-999,36,Matarawa,-38.22438631,175.85345651,Putararu,-38.05293796,175.78466514,19.99096624073266,South Waikato,South Waikato,Waikato,Waikato,68
Te Kuiti West,Otorohanga,-999,30,-999,-999,-999,-999,-999,-999,-999,-999,33,Te Kuiti West,-38.33639894,175.16019027,Otorohanga,-38.18318495,175.21677363,17.73847947886111,Waitomo,Otorohanga,Waikato,Waikato,21
Aria,Otorohanga,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Aria,-38.542289200000006,175.02022119,Otorohanga,-38.18318495,175.21677363,43.452530555271245,Waitomo,Otorohanga,Waikato,Waikato,7
Waipa Valley,Otorohanga,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,15,Waipa Valley,-38.45839327,175.27657366,Otorohanga,-38.18318495,175.21677363,31.043253157315718,Waitomo,Otorohanga,Waikato,Waikato,7
Thornton-Awakeri,Ohope,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Thornton-Awakeri,-37.98393622,176.90843855,Ohope,-37.98331205,177.11508716,18.11130127199502,Whakatane,,Bay of Plenty,,178
Waingarara-Waimana,Whakatane West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Waingarara-Waimana,-38.28225314,177.02173872,Whakatane West,-37.96340527,176.96559282,35.79283042218497,Whakatane,Whakatane,Bay of Plenty,Bay of Plenty,10
Woodlands,Otara-Tirohanga ,-999,30,9,6,-999,-999,-999,-999,-999,-999,48,Woodlands,-38.01656194,177.25965904,Otara-Tirohanga,-38.02845968,177.34799230000004,7.849915456307032,Opotiki,Opotiki,Bay of Plenty,Bay of Plenty,24
Cape Runaway,Otara-Tirohanga ,-999,42,-999,21,-999,-999,-999,-999,-999,-999,69,Cape Runaway,-37.85617143,177.78942872,Otara-Tirohanga,-38.02845968,177.34799230000004,43.191366675032576,Opotiki,Opotiki,Bay of Plenty,Bay of Plenty,4
Galatea,Kawerau Industrial,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Galatea,-38.59477922,176.83164675,Kawerau Industrial,-38.07123027,176.72175918,58.99972161911514,Whakatane,Whakatane,Bay of Plenty,Bay of Plenty,4
Murupara,Whakatane Central,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,18,Murupara,-38.45393088,176.70638789,Whakatane Central,-37.95356587,176.99232736,60.99043744525919,Whakatane,Whakatane,Bay of Plenty,Bay of Plenty,4
Herangi,Te Kuiti West,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Herangi,-38.45166436,174.80364536,Te Kuiti West,-38.33639894,175.16019027,33.61241498840221,Waitomo,Waitomo,Waikato,Waikato,5
Taumarunui East,Taumarunui Central,-999,120,27,12,-999,-999,-999,6,-999,-999,168,Taumarunui East,-38.88852154,175.31379572,Taumarunui Central,-38.88792031,175.26436605,4.2787117653594535,Ruapehu,Ruapehu,Manawatu-Wanganui,Manawatu-Wanganui,23
Marotiri,Tokoroa Central,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,15,Marotiri,-38.51214377,175.78064218,Tokoroa Central,-38.2230221,175.8734232,33.15083603455124,Taupo,South Waikato,Waikato,Waikato,9
Ohakuri,Tokoroa Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Ohakuri,-38.52137003,176.09477746,Tokoroa Central,-38.2230221,175.8734232,38.378782269024526,Taupo,South Waikato,Bay of Plenty,Waikato,12
Bird Area,Marotiri,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Bird Area,-38.69357961,176.0859815,Marotiri,-38.51214377,175.78064218,33.33215113258208,Taupo,Taupo,Waikato,Waikato,195
Ngakuru,Rotorua Central,-999,81,6,-999,-999,-999,-999,-999,-999,-999,87,Ngakuru,-38.3265856,176.19950049,Rotorua Central,-38.13568521,176.25424012,21.75896855152369,Rotorua,Rotorua,Waikato,Bay of Plenty,12
Kaingaroa-Whakarewarewa,Rotorua Central,-999,117,12,-999,-999,-999,-999,-999,-999,-999,135,Kaingaroa-Whakarewarewa,-38.25763217,176.45697211,Rotorua Central,-38.13568521,176.25424012,22.309949015877862,Rotorua,Rotorua,Bay of Plenty,Bay of Plenty,13
Golden Springs,Rotorua Central,-999,24,-999,-999,-999,-999,-999,-999,-999,-999,24,Golden Springs,-38.43903714,176.350431,Rotorua Central,-38.13568521,176.25424012,34.76025757578909,Rotorua,Rotorua,Waikato,Bay of Plenty,11
Lake Taupo Bays,Lake Taupo Bays,195,66,18,-999,-999,-999,-999,12,-999,9,306,Lake Taupo Bays,-38.87191067,175.73166979,Lake Taupo Bays,-38.87191067,175.73166979,0.0,Taupo,Taupo,Waikato,Waikato,6
Turangi,Lake Taupo Bays,-999,99,9,12,-999,-999,-999,-999,-999,-999,129,Turangi,-38.99284557,175.80606909999997,Lake Taupo Bays,-38.87191067,175.73166979,14.907870960246838,Taupo,Taupo,Waikato,Waikato,8
National Park,Lake Taupo Bays,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,National Park,-39.11630156,175.37193356,Lake Taupo Bays,-38.87191067,175.73166979,41.29173774333144,Ruapehu,Taupo,Manawatu-Wanganui,Waikato,6
Wairakei-Broadlands,Ohakuri,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Wairakei-Broadlands,-38.68443198,176.26217734,Ohakuri,-38.52137003,176.09477746,23.24567991171997,Taupo,Taupo,Bay of Plenty,Bay of Plenty,12
Otangiwai-Ohura,Taumarunui Central,-999,51,9,-999,-999,-999,-999,-999,-999,-999,57,Otangiwai-Ohura,-38.86696248,175.00298022,Taumarunui Central,-38.88792031,175.26436605,22.74633275155528,Ruapehu,Ruapehu,Manawatu-Wanganui,Manawatu-Wanganui,4
Raetihi,Taumarunui Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Raetihi,-39.42926305,175.27603962,Taumarunui Central,-38.88792031,175.26436605,60.20298026981254,Ruapehu,Ruapehu,Manawatu-Wanganui,Manawatu-Wanganui,4
Ohakune,Taumarunui Central,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Ohakune,-39.41156448,175.41465037,Taumarunui Central,-38.88792031,175.26436605,59.651257368223646,Ruapehu,Ruapehu,Manawatu-Wanganui,Manawatu-Wanganui,6
East Cape,East Cape,117,87,15,9,-999,-999,-999,21,-999,9,258,East Cape,-37.68457303,178.25309634,East Cape,-37.68457303,178.25309634,0.0,Gisborne,Gisborne,Gisborne,Gisborne,5
Ruatoria-Raukumara,East Cape,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Ruatoria-Raukumara,-37.86680632,178.19588547,East Cape,-37.68457303,178.25309634,20.877967626536318,Gisborne,Gisborne,Gisborne,Gisborne,5
Waipaoa,Gisborne Central,-999,60,12,-999,-999,-999,-999,-999,-999,-999,75,Waipaoa,-38.34127548,177.70733968,Gisborne Central,-38.66778237,178.02299313,45.52530273937869,Gisborne,Gisborne,Gisborne,Gisborne,11
Tokomaru,Gisborne Central,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,12,Tokomaru,-38.07908632,178.14017739,Gisborne Central,-38.66778237,178.02299313,66.25230112861628,Gisborne,Gisborne,Gisborne,Gisborne,5
Hangaroa,Gisborne Central,-999,63,12,-999,-999,-999,-999,-999,-999,-999,75,Hangaroa,-38.67842084,177.63331484,Gisborne Central,-38.66778237,178.02299313,33.84960968529275,Gisborne,Gisborne,Gisborne,Gisborne,11
Wharekaka,Gisborne Central,-999,69,6,-999,-999,-999,-999,-999,-999,-999,75,Wharekaka,-38.4322622,178.15682921,Gisborne Central,-38.66778237,178.02299313,28.65836141545582,Gisborne,Gisborne,Gisborne,Gisborne,16
Te Hapara East,Gisborne Central,-999,150,21,9,-999,-999,9,30,-999,-999,216,Te Hapara East,-38.6560244,178.01721277,Gisborne Central,-38.66778237,178.02299313,1.4004478113502266,Gisborne,Gisborne,Gisborne,Gisborne,315
Mahia,Gisborne Central,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Mahia,-38.98042026,177.71581946,Gisborne Central,-38.66778237,178.02299313,43.77915117643859,Wairoa,Gisborne,Hawke's Bay,Gisborne,5
Frasertown-Ruakituri,Maungataniwha-Raupunga,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Frasertown-Ruakituri,-38.79568211,177.34997241,Maungataniwha-Raupunga,-38.9717569,177.05706012,32.033091038241245,Wairoa,Wairoa,Hawke's Bay,Hawke's Bay,4
Whakaki,Maungataniwha-Raupunga,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Whakaki,-39.01763369,177.54176403,Maungataniwha-Raupunga,-38.9717569,177.05706012,42.19810170830283,Wairoa,Wairoa,Hawke's Bay,Hawke's Bay,4
Wairoa,Maungataniwha-Raupunga,-999,27,-999,15,-999,-999,-999,-999,-999,-999,54,Wairoa,-39.03908469,177.41898076,Maungataniwha-Raupunga,-38.9717569,177.05706012,32.15646356185719,Wairoa,Wairoa,Hawke's Bay,Hawke's Bay,5
